电影名,年份,时长,评论,下载链接,导演,主演,分类,地区,评分,计划观看人数,简介
感化院,2015,104,,"https://pan.baidu.com/s/1bENDyhOwEFGPmAqI0EgHxg 密码:r9hx, http://www.pniao.com/p/zimu/3/1528538506.zip, ed2k://|file|感化院.Sanctuary.2015.中德字幕.BDrip.AAC.720P.x264-人人影视(pniao.com).mp4|1506377254|510286001937c65f5dc49c003e1eb968|h=7f6y7jb3piagbuuuwybkauiurepjrleu|/, ed2k://|file|感化院.Freistatt.2015.BD.German.MniSD-TLF.mkv|907658641|E09C3CAB2BE952E6D6BCA79B74FA9B48|h=KZGHLRUARGV2XO47JEK24IBCSNINYIVJ|/, magnet:?xt=urn:btih:bf1f660076bf731842fee4aa7b5c31a93661aef7&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.bto&www=pniao.com, magnet:?xt=urn:btih:E3669EBB189BC05C97A8DFACA32DF3AC36B13366&www=pniao.com, magnet:?xt=urn:btih:02152F38E3DA01CA21F843275FA40F2E4459191F&www=pniao.com, magnet:?xt=urn:btih:94AA3CB8BFD167DACAAE2D895EDEF65AE4A74F25&www=pniao.com",马克·布鲁蒙德,约纳斯·伯格,剧情,德国,8.4,30,1968年，整个德国正在步入一个自由的新纪元。叛逆的14岁男孩沃尔夫冈被送入了专门接纳问题孩子的收容所-弗赖斯塔特。这所以天主教会为名的学校，实际上却是如同少年监狱的地方，等待他的将会是什么样的生活？电影根据真实故事改编，讲述了一个小男孩如...
不汗党,2017,120,,"http://www.pniao.com/p/zimu/3/1528538291.srt, http://www.pniao.com/p/zimu/10/1528537536.srt, magnet:?xt=urn:btih:87652059C8A9A4E54AD8F2E0BC4E315B488F45E1&www=pniao.com, magnet:?xt=urn:btih:B98B6A12AE8FDD2513A6BDB5DE9CEC7E8628E7A9&www=pniao.com, magnet:?xt=urn:btih:201A9FBBF3B3FF5E717B33F3BB6F1196862C9473&www=pniao.com, magnet:?xt=urn:btih:007EA9E9FDD945DD423C0A2D72BEC381792C891D&www=pniao.com, magnet:?xt=urn:btih:1D0E733FD4EFC1835B9873BBF4EEEB3DBDE9A52F&www=pniao.com, magnet:?xt=urn:btih:4D4586733EAB22E8475EA710616B5E68365502B6&www=pniao.com",卞成贤,薛耿求,"剧情,动作,犯罪",韩国,7,24,韩国犯罪动作电影，入围戛纳电影节午夜展映单元，卞成贤编剧执导，薛景求，任时完，金熙元，全慧珍，李璟荣等主演《不汗党》片名指代痞子、无赖汉，讲述了在教导所里安静度日的原黑帮二把手宰浩在狱中结实了不向任何人低头的新人贤秀，二人在出狱后争夺黑帮老...
少妇的诱惑,1992,93,怎么看？,,丁度·巴拉斯,克劳迪亚·科尔,情色,意大利,6.5,27,丁度·巴拉斯导演作品。戴安娜，出生在威尼斯着名的华伦天奴家族，现在罗马一个服装店做售货员。她今年24岁，但结婚却已5年了，夫妻感情很好。但丈夫帕罗却有点变态。只有听戴安娜叙述被人调戏或与其他男子调情才能激发起他的性欲，这很令小戴苦恼。这不，...
尘土,2001,127,,magnet:?xt=urn:btih:E98841C28B847063267CE0A27FFC6BF13DBF7DD1&www=pniao.com,米尔科·曼彻夫斯基,约瑟夫·费因斯,"剧情,西部",德国,7.7,18,《尘埃》是《暴雨将至》导演曼契夫斯机的2001年度新作，由两段不同时空的故事交织而成，其一是十九世纪的一对牛仔兄弟，兄弟情场鬩墙的结果，失败的哥哥流浪到欧洲，在一场争战之后，垂危的哥哥又遇上了另一名女子。另一条故事现则发生在现代纽约，老妇人...
派对搭讪秘诀,2017,102,奇遇字幕组的字幕时间轴不对啊，和蓝光不匹配。奇遇字幕对应的是WEB-DL，和蓝光不匹配。百度云为啥还是下载不了呢？下起来终于有字幕了片子不热门，IMDB评分也低，最关键是没有英文字幕，好多字幕组都是对照英文翻译的，原创听译可不是一般人能搞出来的，so...那么没有字幕的原因是什么呢？这蓝光都出了没有找了全网，无任何语言的字幕，提个建议，希望分享者可以把商店m4v格式的分享出来，提取下日语字幕，让有日语基础的字幕组翻译一下。每日一求求字幕都这么久了还没出字幕。。。继续求字幕求字幕啊为什么这么久了还是生肉等中字感谢分享，同求字幕这么牛b的片竟然没有字幕组出字幕么……字幕呢，什么时候出来啊很有趣的样子0资源，牛逼没法下？等肉哇 真的期待这片好久好久了等熟肉求蒸熟。啃个生肉先试试超级想看了！期待！,"https://pan.baidu.com/s/1M9Q7Z2ZKNr9ViuGk_MTWPw 密码:ou9u, http://www.pniao.com/p/zimu/2/1528474115.ass, http://www.pniao.com/p/zimu/11/1528365838.srt, http://www.pniao.com/p/zimu/2/1528286806.srt, magnet:?xt=urn:btih:40FBA1747E18FEBD101781089E1190C2F660567B&www=pniao.com, magnet:?xt=urn:btih:AE424564D5640460733478C31F141D2BB3BF6642&www=pniao.com, magnet:?xt=urn:btih:80220A7A3E5D23CCCF1C25F75273562F8E11217A&www=pniao.com, magnet:?xt=urn:btih:3FB5A0839CA0C94F74E2980F2F995837E84F1EDF&www=pniao.com, magnet:?xt=urn:btih:1BD849147DE10D0E7BD0540A3C2B091DE0C47DAC&www=pniao.com, magnet:?xt=urn:btih:D325FDD3C75FF79D44AC5B2039C92CDFB9AC5EEA&www=pniao.com",约翰·卡梅隆·米切尔,妮可·基德曼,"喜剧,爱情,音乐",美国,7.8,564,艾丽·范宁、妮可·基德曼主演的新片。该片根据尼尔·盖曼同名短篇小说改编，由《摇滚芭比》导演约翰·卡梅伦·米伦执导。《如何在派对上搭讪女孩》2006年发表，是盖曼小说集《脆弱的事物》中的一篇。曾获“雨果奖”最佳短篇小说的提名，电影版在原小说的...
天生一对,1998,127,,"http://pan.baidu.com/s/1sl04Uyp 密码:i36i, http://www.pniao.com/p/zimu/10/1528525087.rar, ed2k://|file|The.Parent.Trap.1998.天生一对.双语字幕.HR-HDTV.AC3.1024X556.x264-人人影视制作.mkv|2098253628|f3aa1fbec0fc49f1b9ed8c04cb4b75da|h=4whuyqt2n7d6gdau5cidu67un43qnrxm|/, magnet:?xt=urn:btih:6f106e4e5dec878ce8f8f5eee700bea70fdab408&www=pniao.com, magnet:?xt=urn:btih:690A97287FEFC4706ECA54A2F3D35F7D1C6B1095&www=pniao.com, magnet:?xt=urn:btih:779B9325F4702CA8AB9CF5E7F8FA2A18F4E2AC09&www=pniao.com",南希·迈耶斯,琳赛·洛翰,"剧情,喜剧,爱情",美国,8.3,40,家庭喜剧电影，根据伊利奇·卡斯特纳《两个小洛特》改编，翻拍自1961年版美国电影《爸爸爱妈妈》，由南希·迈耶斯执导，林赛·罗韩、丹尼斯·奎德、娜塔莎·理查德森等主演。 影片讲述了一对素未谋面的双胞胎姐妹安妮和荷莉，让自己离异的爸爸妈妈复合并...
超感猎杀：完结特别篇,2018,120,舍不得看 看完就真的没有了！非常好，期待很久，要看。终于有啦1.72G的带字幕，放心看！！！感恩！！！！！！！！请问小生，这部片后续还会放其他字幕组的资源吗，实在不喜欢Netflix的官方中字感谢感谢谢谢XD还是不行啊为啥我的utorrent不动TOT速度好慢……TvTutorrent下载速度十分可观~下不起呀下不起呀下不起呀不行呀一直在连接资源115下不了啊……115离线也得需要时间 你看下离线进度 到百分之多少了下不动啊啊！！！！！！！！太感谢了！！！！！！救命啊~~~下不了 1下载不呀搬运辛苦啦来了...来了......下起来感谢！！！！！！！！！十分想见裴斗娜等待等T T要说再见了啊，希望能再见看完就真的没了可以，倒计时了，期待~~~等了好久了。。。今年终于能看了。。。感动！！！,"https://pan.baidu.com/s/1JBewJ_-D-WIIT0JQVKkamQ 密码:pax6, https://pan.baidu.com/s/1PLLkkqXCmvttypcyFyCmCA, http://www.pniao.com/p/zimu/1/1528506106.rar, http://www.pniao.com/p/zimu/10/1528450408.rar, ed2k://|file|超感猎杀.剧终篇.Sense8.Final.中英字幕.WEBrip.720P-人人影视(pniao.com).mp4|1819594879|35deb8cac7ebd026de08ae304d03e0f7|h=y5qzrbdhi4v7w4535u35dqd53xak7cvn|/, magnet:?xt=urn:btih:b37734e7afecebae4560b36af0d6fbc9b1d427b0&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.bto&www=pniao.com, magnet:?xt=urn:btih:EFC5688106AE1E350EC7636FDB4C9328BCF12D18&www=pniao.com, magnet:?xt=urn:btih:600740A39208FAFD31DB2C2F8B30DF01F08C973B&www=pniao.com, magnet:?xt=urn:btih:7909CFCAD270DC0CD360AB941019276BB39F608C&www=pniao.com",拉娜·沃卓斯基,裴斗娜,"剧情,动作,科幻",美国,9.4,362,Netfilx宣布将为月初被砍的《超感猎杀》制作两小时最终篇！Wolfgang的命运及更多大坑终于要填上啦！剧集制作人拉娜·沃卓斯基在致Sense8家族的一封信中感谢全球粉丝
录影片段,2012,100,,"ed2k://|file|迷色青春.Clip.2012.BD.MiniSD-TLF.mkv|689975387|2F0D5650AC40B1267907DC6C75125349|/, magnet:?xt=urn:btih:C7831BE4C9A19FAC52F5D70C9E1E5929D044940C&www=pniao.com, magnet:?xt=urn:btih:8351e37a765e1b1b62f25a85ff8cd31b80b8a1a2&www=pniao.com",马佳·米洛斯,伊斯多拉·西姆乔诺维奇,"剧情,爱情",塞尔维亚,5.3,1,故事发生在贝尔格莱德的郊区，一位名叫亚丝娜（伊斯多拉·西姆乔诺维奇饰）的女孩生长在那里。亚丝娜的家境十分贫寒，父亲身患绝症，母亲无能为力。亚丝娜对此毫不在意，她的心思，全都放在学校里一个名为迪约勒（VukasinJasnic饰）的男生身上。...
天堂之吻,2011,116,,"http://pan.baidu.com/s/1bnry8KR, ed2k://|file|天堂之吻.Paradise.Kiss.2011.BD.MiniSD-TLF.mkv|907735252|2B8849581AF5E75F9259F30E41ED1A54|/, magnet:?xt=urn:btih:02B7F5E22A337F84F7C8C6AE52F711595ED08C4A&www=pniao.com, magnet:?xt=urn:btih:b65234bba09b06d723f47dd5d31f0a1be8617ba7&dn=天堂之吻.2011.日语中字￡CMCT南山石&www=pniao.com, magnet:?xt=urn:btih:4742BC2640CBC0ADEF91BD89BF6A2599FD4DBAB7&www=pniao.com",新城毅彦,北川景子,"剧情,爱情",日本,6.6,5,北川景子、向井理主演。 本片根据《NANA》的原作作家矢泽爱的代表作漫画《ParadiseKiss》改编而成，讲述了品学兼优的女主人公早坂紫为了成为一名时尚界精英，与朋友们共同涉足时尚领域，通过相互之间友情与爱情的情感纠葛，开始追寻自己梦想...
双姝怨,1961,108,,"https://pan.baidu.com/s/1kMJSLqqeEs5lv0WJh3zCnQ 密码:5sn9, http://www.pniao.com/p/zimu/7/1523058745.rar, magnet:?xt=urn:btih:d0da6363c08be6cebc77ace164fd230c9f8993f4&dn=双姝怨.1961.中英字幕￡CMCT犇犇&www=pniao.com, magnet:?xt=urn:btih:6b0883253e773f3a882808603feab7a7a74b922c&www=pniao.com, magnet:?xt=urn:btih:e07c822fb029665ecbeaedb29db60ea47ee599ce&www=pniao.com",威廉·惠勒,奥黛丽·赫本,"剧情,同性",美国,8,72,凯伦（奥黛丽·赫本饰）和玛莎（雪莉·麦克雷恩饰）共同管理着一间私立学校，尽管身为女流之辈，但她们特立独行英明果断的作风还是赢得了许多学生和老师的喜爱，两人之间的友谊也十分坚固。玛丽（KarenBalkin饰）从小就过着娇生惯养的生活，成长于...
